"","name","mean_ndci_fall","mean_ndci_spring","mean_ndci_summer","mean_ndci_winter","min_ndci_fall","min_ndci_spring","min_ndci_summer","min_ndci_winter","max_ndci_fall","max_ndci_spring","max_ndci_summer","max_ndci_winter"
"235","Michael J. Kirwan Reservoir",0.0358192269830685,-0.025421651379548,0.042208398833842,-0.0213816068191387,-0.0449776628532576,-0.137413323344155,-0.0215565995096569,-0.0963787495371664,0.126932719974568,0.0766381420594626,0.106239212594781,0.0617980946264388
"236","Milford Lake",0.0726788624896981,0.0266048688896623,0.100768842429143,0.0209455817860321,-0.0232759289866626,-0.0390699004631649,0.0191484668391318,-0.0655547007610838,0.185038254463021,0.067101346564962,0.173754681071803,0.0978789580113912
"237","Millwood Lake",0.0396104173407072,0.00775564415748723,0.0443168224901505,0.00476854106033204,-0.0164241505160447,-0.0522643754751439,0.00431135846985964,-0.0567858371838676,0.0998228385467031,0.0907011093823784,0.103237209357513,0.0935559754593443
"238","Mississinewa Lake",0.0743233680641876,0.0155615229905643,0.0872217487157132,0.017185198358372,-0.0279015772236621,-0.0421761417432775,-0.0546555378628779,-0.0171609207160377,0.27337811850551,0.100273461160921,0.23294882622119,0.118826881503591
"239","Monroe Lake",0.0181183196925412,-0.0187460594655553,0.0370059704362676,-0.0429058889454827,-0.0824204467453853,-0.0762033626392194,-0.0107400414622878,-0.103933955726859,0.0805542650167039,0.0464787718017387,0.0989939258663856,0.0530377481413302
"240","Mosquito Creek Lake",0.0768818660406091,0.0126084005805483,0.0617154116240073,0.0107829243331066,-0.0143292573217392,-0.0742445232126911,0.00366838710127003,-0.0510388142846143,0.193546296509663,0.0715213020207959,0.236471022614132,0.106702970078942
"241","Navarro Mills Lake",0.0965313767396472,0.0439734490209115,0.078963255356377,0.0460159831220058,-0.0181005586592179,-0.0213947584966573,0.0380914487374041,-0.00492952851106121,0.147587730738709,0.162696921323931,0.139979938756161,0.083641779138148
"242","New Hogan Lake",-0.0280025794143607,-0.0675118853117994,-0.057501765193218,-0.0571725073350312,-0.114874489754324,-0.512404018965147,-0.228049469823785,-0.144488402007409,0.0496088554656458,0.0367062993341716,0.0299516296935095,0.0939729770802063
"243","Nimrod Lake",0.0456649311589669,-0.00301615585860305,0.0582460821656744,-0.0390353506840368,-0.0216272362068696,-0.126111350556914,0.0180697760636306,-0.131552670822276,0.108587924909248,0.0865779146088289,0.124090838437528,0.0290439867085911
"244","Nolin River Lake",0.0240168777445677,0.0234486736076133,0.0386468613553448,-0.0180689257410441,-0.0278542360508921,-0.0382709446093046,0.00995253476056328,-0.0902547063449975,0.102206662469455,0.0849036929439188,0.0727909505138936,0.0388592507826822
"245","Norfork Lake",-0.0077159431066637,-0.0398121246139325,0.0113455698186628,-0.0681337019729837,-0.0826749343768855,-0.16281575274757,-0.0496836484027034,-0.197030985265218,0.070086734890816,0.0606230052140933,0.0656168174747929,0.0106812062445624
"246","North Branch of Kokosing River Lake",0.13036278363285,0.0244670866114259,0.0975022157000558,-0.0421425927215159,0.0122144268831983,-0.0996698010602011,0.0190695535290667,-0.0953111002791424,0.245307495279837,0.130185485137456,0.181572396136623,0.00689703518627301
"247","North Fork of Pound Lake",0.0323289732845423,-0.00560667766930974,0.0384093521829403,-0.029378761069174,-0.121869822135509,-0.186378443400889,-0.277427408089874,-0.139449021563404,0.149370807326785,0.0920284969079123,0.107174216936717,0.05725234392695
"248","North Springfield Reservoir",0.053639655753397,0.0363033861737347,0.0843035351763559,0.0171558781614826,-0.00792843136723445,-0.0973095189863346,-0.0142750384773577,-0.0156235717832809,0.104812034799315,0.134292376352561,0.186756173167713,0.0724112961622014
"249","O. C. Fisher Lake",0.330775118629996,0.119370641096723,0.162394103377648,0.173026023632919,0.174207320646818,0.0657299903675214,0.0970666707149114,0.00695005279272825,0.449822027521092,0.194192334678505,0.275821841599515,0.326866606608069
"250","Okatibbee Lake",0.0342664057187032,0.0128463785356832,0.0476421363096513,0.00124378324453889,-0.0376437942223219,-0.0246761665841463,-0.045335614112632,-0.0383185927335337,0.241583484454827,0.0632190480081272,0.342195845697329,0.0347117416239059
"251","Old Hickory Lake",0.0348237464539155,0.00522747297942276,0.0501737771429396,-0.0161727268961408,-0.0547649153481147,-0.124251340666621,-0.0280042127717629,-0.0952559609195069,0.116130434302521,0.110761046914824,0.0929892492075134,0.0587125951878731
"252","Olive Creek Lake",0.115680282789812,0.100871951451156,0.216395364023711,0.032874848966613,-0.0671614290754102,0.00555715819369245,0.052231211944282,-0.0237509781530113,0.319879450253758,0.283276996027022,0.404733670693329,0.233621472880718
"253","Oliver Lake",0.0340024310501276,0.0128604782701488,0.0405528372727511,-0.0390333673050523,-0.0584507754771518,-0.0638134095036733,-0.0198622362105692,-0.124227356744519,0.0960024951905905,0.12553527806618,0.094465834575518,0.125091979396615
"254","Oologah Lake",0.0334469125907014,0.0159253102867333,0.0580525297870319,-0.0385702356528343,-0.0720710345544427,-0.0275997182991539,0.00845752500079308,-0.11683187229911,0.0812388971184698,0.118225298562127,0.403760816859553,0.0285525386692559
"255","Optima Lake",0.178776717744021,0.0560948253398726,0.174945809640266,0.0861315477549687,0.0210507959442963,0.0386607568514779,0.0381033857970617,0.0297102786491973,0.307399882021368,0.082900782000871,0.309137496476131,0.125096326740303
"256","Orwell Lake",0.02767123341627,0.0166677487239133,0.0523086258753552,0.0074787620683828,-0.0298786572466371,-0.0386630082314792,0.0145930549584792,-0.017741792464249,0.119818082451158,0.0459968135545327,0.0930499331960481,0.0365155760267719
"257","Otter Brook Lake",-0.00197358549007736,0.0173955720949859,0.0303893788986238,-0.0379440389464508,-0.139354262308453,-0.0515272235322251,-0.0163161846087318,-0.361202231537608,0.0866696683564921,0.0640905852383779,0.121422115094908,0.0492278315429307
"258","Ozark Lake",0.133223356221968,0.000655850073909966,0.0501036862086465,-0.0170321537413371,0.0129449838187702,-0.0735409570688169,-0.00401074253097523,-0.0954488020544451,0.256229265181541,0.0641095147736515,0.100413837034412,0.154881708574295
"259","Paint Creek Lake",0.146089870864636,0.0409575766688572,0.143447872821998,0.0184001804172106,0.0194771626840488,-0.0959162242279273,-0.0948739733786464,-0.0838056785644079,0.334866133458422,0.243322020801235,0.339811721834194,0.0869564555354952
"260","Paintsville Lake",0.0428342160481949,-0.0279102025096419,0.0264828037312012,-0.0292731563088142,-0.0798599382758606,-0.111313687706786,-0.139693329419181,-0.134677694212618,0.126888389497739,0.0937711389561141,0.0858968578690976,0.118486045662491
"261","Pat Mayse Lake",0.0449262777603049,0.0239919802944538,0.0581501224062972,0.0411388781673668,-0.0141327596666282,-0.0222564292820109,0.0105569583061045,-0.0031384508452593,0.123337514844052,0.0803831222323483,0.0970803024281513,0.114109992114718
"262","Patoka Lake",-0.00466546066583066,-0.0451044155681426,0.0102862271426698,-0.0500453515222172,-0.118323354194382,-0.101520384498152,-0.0457616306995841,-0.124733143939343,0.0820471196821647,0.00841329602749488,0.0598247705567,0.0183306752605008
"263","Pawnee Lake",0.253253580964373,0.126163838521771,0.209351041958954,0.028219841106806,0.0699121161252098,0.0317466556688632,0.087531868978058,-0.0125547820967781,0.328481178331639,0.400283955882965,0.398386583818409,0.0989848894626698
"264","Perry Lake",0.0130422399705581,0.039421652316595,0.0452614939388811,0.0523169329444568,-0.0945244895865574,-0.0491570780482059,0.00148435815889629,-0.116168138699925,0.0672381539297606,0.522007956849238,0.0933789449014383,0.159187429854761
"265","Philpott Lake",-0.0235695106743213,-0.00880565648843545,0.0159388655641017,-0.0468560587734983,-0.149470750971191,-0.105174034838623,-0.0483426489045766,-0.211128677106128,0.0659841308622574,0.149807240688029,0.0628529871487916,0.0736919842645942
"266","Piedmont Lake",0.0410931604962823,-0.00954494012445138,0.0442949209684167,0.0207037387958866,0.00189332795042102,-0.0784679766192675,-0.00507612262627514,-0.00682475195357368,0.0996834680488368,0.0739442427327414,0.102927289896128,0.0389928806503383
"267","Pine Creek Lake",0.0352805452570702,-0.0064698885498151,0.0463677102580551,-0.0300215322157486,-0.0652563449805746,-0.103484251605409,0.00845881551637299,-0.135520684736091,0.123312130342596,0.12136832239925,0.0876355774115812,0.0613062959002824
"268","Pine Flat Lake",-0.049215600578171,-0.0736894921360506,-0.0178165561637584,-0.0439076406050608,-0.392637224419087,-0.390421003877784,-0.301768990634755,-0.296703543843835,0.0849093036650858,0.056369785794814,0.0732329484591775,0.399981499159658
"269","Pine River Reservoir",0.0136848573596144,0.0250351345574894,0.0353721914825669,0.0250389659923577,-0.229824018019748,-0.0839452254539736,-0.0903648408477212,-0.0471513024089401,0.0879708451641088,0.155003958647339,0.132037886191085,0.0773373914342898
"270","Pipestem Lake",0.15073128644351,0.0384125505776685,0.118152769326398,0.0360509701879455,-0.00496314130733735,-0.220388194339424,-0.0310159573405761,0.00790138786411113,0.525054466230937,0.276623960368896,0.315688029528826,0.0700112357955368
"271","Pleasant Hill Lake",0.105712427960241,0.0130942098566458,0.0899454412158151,0.0101860949822377,0.0031724491727292,-0.133535633215533,0.0208970660008774,-0.119547372219977,0.24748970237929,0.139414758001119,0.236038553834632,0.10254801530454
"272","Pokegama Lake",0.036731699010049,0.00475865983043191,0.0301644620483051,0.0247198267324837,-0.0349074918703062,-0.0176515195443931,-0.0298772197474155,-0.0304929209808011,0.132442468677131,0.0224710445922039,0.0770302785544674,0.0846537315069207
"273","Pomme de Terre Lake",0.0570593245166426,-0.00443582053951517,0.0517236500160319,-0.0258161055535925,-0.0905729896915794,-0.292781484308503,-0.212139423076923,-0.20070155603451,0.14789945016385,0.126465644444685,0.131262434258319,0.635811126694717
"274","Pomona Lake",-0.00817368713893011,-0.0162070535622883,0.0263143248253074,-0.0304071665286478,-0.10420502035971,-0.0884245182794342,-0.0443598383396641,-0.101803271977583,0.140043273893904,0.0575671582885246,0.0908127472240048,0.0293150428184979
"275","Pool A (Amory)",0.0174490957472546,-0.00907488860762043,0.019340897525281,-0.0215870295786335,-0.0645403632000103,-0.0389833724450539,-0.0203792178974996,-0.0740305883565566,0.200544886570447,0.0253329596948649,0.0962068128235921,0.0419355482542243
"276","Pool B (Wilkins)",0.00453869046060966,-0.0145343720742512,0.000912184191969385,0.0116779940880187,-0.0561544569141499,-0.057877591296745,-0.0466953555936006,-0.0796084806956512,0.0898160493289396,0.0660764413733535,0.0676936932666557,0.626916524701874
"277","Pool C (Fulton)",-0.00903938078572638,-0.0308823062913639,-0.0183932817958994,-0.0339430246232871,-0.0885241219601979,-0.0937823934218641,-0.0745800622302337,-0.108633454553798,0.107761147666374,0.0455920824458089,0.0413388583571569,0.0538667213489556
"278","Pool D (Rankin)",-0.0228611665760572,-0.0363243542446323,-0.0231402378507325,-0.0449006199823139,-0.100946267962903,-0.0779401114393667,-0.0715291662996858,-0.126885760090384,0.0704608238385649,0.0623493341997943,0.0327593973871809,0.0368079861943044
"279","Pool E (Montgomery)",0.0104752384148715,-0.0107844124787184,0.00943445752760721,-0.0126263818655811,-0.0445835312795374,-0.0564202929505284,-0.0464400026103244,-0.0811889998076405,0.0710892896289844,0.0416712099647697,0.116920219837362,0.0938131081329172
"280","Proctor Lake",0.168835960688392,0.100282868718181,0.169187423348521,0.0805033260233392,0.0876242458630739,0.0637603224904263,0.111773974503876,-0.00215626939622339,0.255851551995194,0.146661556618776,0.240351612274089,0.151544082736586
"281","Prompton Lake",0.0958774100650217,0.02466473454585,0.0804694068949946,-0.012001402436951,-0.00334693732873485,-0.0901751984621657,0.0326521673092836,-0.0508523084848393,0.172390657082417,0.0838997023002506,0.143338869881931,0.0298872804670802
"282","R. D. Bailey Lake",-0.0523650392051072,0.00304221885691083,0.0268712558172727,-0.0307162745554707,-0.204728653047298,-0.106898251539283,-0.0247327447477794,-0.0592665429252906,0.0782321613827525,0.105843821859565,0.101005595438582,0.0335368863607144
"283","R. E. Bob Woodruff Lake",0.0472849956716435,0.0250137023780086,0.04121364421989,-0.0102507742623385,-0.0410704962696467,-0.0800319422464445,-0.0196858831017792,-0.0816189257698718,0.121902748975501,0.0933454437615295,0.0881239964505665,0.0546458219546991
"284","Rathbun Lake",0.0392839715102725,0.0250646425946392,0.078642605564814,-0.0318845536919732,-0.104999459791816,-0.0436535980483883,0.0176328771511677,-0.121909487749509,0.190722302736317,0.071484790909794,0.167864171900422,0.0202388488320991
